Duration,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Engagement_Score,Month,DayOfWeek,Num_Channels,Campaign_Type_Influencer,Campaign_Type_Paid Ads,Campaign_Type_SEO,Campaign_Type_Social Media,Target_Audience_Premium Shoppers,Target_Audience_Tier 2 City Customers,Target_Audience_Working Women,Target_Audience_Youth,Language_English,Language_Hindi,Language_Tamil,Customer_Segment_Premium Shoppers,Customer_Segment_Tier 2 City Customers,Customer_Segment_Working Women,Customer_Segment_Youth
21,57804,6156,3616,2355,1867515,111.03,6.14,20.98,4,1,2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
18,91801,3321,1971,1357,1046247,180.83,3.26,7.24,4,6,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
23,15536,2182,952,755,197055,90.6,1.88,25.03,1,1,3,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
18,88114,8413,2231,947,376906,249.07,0.6,13.15,6,2,3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
10,96871,3743,2060,1258,518296,228.6,0.8,7.29,12,6,2,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
26,83919,7497,2061,1555,877020,137.79,3.09,13.24,9,0,2,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False
21,82267,5534,1873,1386,633402,210.17,1.17,10.69,9,6,3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
6,32482,2665,1488,925,326525,147.29,1.4,15.63,5,5,3,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
27,73813,8680,5031,2551,1058665,87.74,3.73,22.03,3,0,3,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
11,88895,6284,1600,858,603174,269.82,1.61,9.83,4,1,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
5,59141,1556,580,221,121550,357.66,0.54,3.99,10,5,2,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
7,39696,5623,1136,661,286874,163.52,1.65,18.69,12,5,2,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False
29,20080,570,258,183,128466,462.62,0.52,5.03,9,0,3,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
14,96303,3749,1785,940,441800,282.05,0.67,6.72,10,1,1,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False
5,38072,2591,1542,769,240697,369.75,-0.15,12.88,7,5,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
23,28714,1511,441,158,33654,1648.61,-0.87,7.35,10,6,3,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False
27,73474,4886,2344,1055,263750,272.28,-0.08,11.28,12,2,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
28,57060,1659,928,346,187186,448.86,0.21,5.14,4,5,3,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False
7,49784,1510,594,440,261800,115.42,4.16,5.11,1,5,1,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
21,55317,7847,1736,1079,715377,174.65,2.8,19.27,2,6,1,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
27,10678,1217,524,163,111981,1124.19,-0.39,17.83,8,1,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
22,27990,3508,761,385,155540,516.25,-0.22,16.63,1,3,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
9,74423,3139,1622,1149,629652,89.52,5.12,7.94,2,0,2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
9,77708,4985,1363,916,632040,120.36,4.73,9.35,5,2,3,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
21,89970,10679,4140,3003,1537536,69.87,6.33,19.81,3,0,2,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
25,96295,8911,2116,872,441232,148.17,2.41,12.36,11,6,2,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False
29,59234,4994,1531,892,226568,270.76,-0.06,12.52,10,2,3,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
15,74702,10110,5298,2481,1220652,49.62,8.91,23.95,2,0,1,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False
15,26353,3943,1879,746,458044,214.56,1.86,24.92,3,6,3,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
26,16978,1079,372,164,56908,1784.37,-0.81,9.51,7,2,3,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
18,92924,9525,4340,2242,652422,27.28,9.67,17.33,3,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
7,96549,13114,3791,1202,366610,74.34,3.1,18.75,6,2,3,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
17,72628,6488,1923,1181,243286,231.17,-0.11,13.21,5,4,3,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False
19,61270,3309,1588,582,346872,320.86,0.86,8.94,12,1,3,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
22,29199,1719,704,274,101928,727.09,-0.49,9.24,7,4,3,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
11,19637,478,236,173,108471,498.5,0.26,4.52,10,5,3,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
19,23746,1503,747,458,101218,229.15,-0.04,11.4,12,5,3,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False
6,53926,7219,1902,1105,339235,221.64,0.39,18.96,10,4,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
6,35806,2631,999,365,198925,362.79,0.5,11.16,3,5,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
6,31729,2418,773,403,207142,400.55,0.28,11.33,10,0,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
29,10338,864,412,299,127075,438.17,-0.03,15.24,9,6,1,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
7,96095,12738,6327,2845,631590,56.36,2.94,22.8,3,6,3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
7,96219,11237,5367,3599,910547,68.47,2.69,21.0,8,5,3,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
30,37002,2753,979,780,371280,123.02,2.87,12.19,5,3,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
29,65776,4977,1606,901,370311,74.44,4.52,11.38,4,5,2,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
12,57520,3932,2101,1431,1027458,128.93,4.57,12.98,8,5,1,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False
24,52752,5831,3299,2095,509085,139.77,0.74,21.28,8,0,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
5,14944,1268,482,318,104304,319.84,0.03,13.84,4,2,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
22,53290,3905,1034,535,344540,131.77,3.89,10.27,8,3,1,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
14,41687,2215,911,568,358408,277.67,1.27,8.86,3,1,1,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
30,67932,9449,5194,3230,839800,33.28,6.81,26.31,11,0,2,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
16,78991,6551,3460,2657,810385,49.89,5.11,16.04,4,2,2,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
12,97822,5691,2022,1271,579576,210.15,1.17,9.18,11,4,3,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
14,77985,6461,3033,1379,995638,180.5,3.0,13.94,8,2,3,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
12,82079,2124,1057,472,232224,620.82,-0.21,4.45,6,4,3,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
16,66781,8932,3662,1790,721370,150.42,1.68,21.54,3,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
11,72001,8840,2425,1271,846486,54.74,11.17,17.41,7,5,2,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
27,43454,5590,1836,1046,343088,182.35,0.8,19.5,12,1,2,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
28,24558,1700,671,326,235698,189.39,2.82,10.98,2,3,2,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
12,51784,3169,1762,1042,803382,141.09,4.46,11.53,3,1,3,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
12,61841,6086,2165,1542,1201218,38.2,19.39,15.84,1,4,3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
5,80683,2154,985,786,248376,244.18,0.29,4.86,4,2,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
20,82701,4194,1345,869,323268,230.37,0.61,7.75,9,6,2,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
8,80457,9646,2336,1659,643692,125.03,2.1,16.95,2,0,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
13,34565,819,304,211,137150,1099.71,-0.41,3.86,5,2,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
25,41740,1039,561,322,154882,328.9,0.46,4.6,4,1,3,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
29,28052,1240,513,377,166634,221.3,1.0,7.59,8,5,2,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
6,36769,2948,797,370,237170,576.24,0.11,11.19,2,3,3,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False
26,59910,3712,1431,951,427950,303.73,0.48,10.17,3,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
20,51907,1717,484,275,137225,316.3,0.58,4.77,7,4,2,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
21,54847,7764,3946,1326,502554,50.86,6.45,23.77,3,2,2,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
11,68542,8178,3828,1207,280024,179.89,0.29,19.28,12,0,1,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
17,73165,5735,2225,1582,1170680,143.08,4.17,13.04,12,4,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
17,26416,1545,401,226,68478,395.28,-0.23,8.22,9,6,2,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
11,97611,7838,2476,1741,541451,164.53,0.89,12.35,8,3,3,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
29,48871,6658,3972,2058,1636110,133.98,4.93,25.96,11,3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
24,74794,6057,1939,1470,799680,100.41,4.42,12.66,7,6,3,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True
13,37745,1091,361,114,45030,1000.73,-0.61,4.15,2,6,3,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False
26,41410,905,449,156,75504,1252.69,-0.61,3.65,7,5,3,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
17,30448,4531,1041,767,546871,315.83,1.26,20.82,8,2,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
6,79031,7614,1912,1166,719422,87.2,6.08,13.53,3,6,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
12,69794,3864,1627,923,318435,271.48,0.27,9.19,1,2,3,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
11,10613,1093,468,344,73272,693.71,-0.69,17.95,5,4,1,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
9,14824,1848,713,229,111294,542.97,-0.1,18.82,6,2,3,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False
22,38900,4362,1416,1056,291456,212.22,0.3,17.57,11,2,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
10,27040,1352,274,153,42075,460.92,-0.4,6.58,6,5,3,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False
16,45406,2768,1052,747,511695,321.69,1.13,10.06,9,6,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,48041,2478,1229,553,311892,511.7,0.1,8.87,6,4,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
30,84207,6175,1941,1352,461032,214.63,0.59,11.24,10,1,3,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
16,77548,1844,706,226,72772,1072.32,-0.7,3.58,8,1,2,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
13,76619,7278,3935,1746,790938,152.82,1.96,16.91,11,1,2,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
21,37600,2906,1624,1006,690116,253.33,1.71,14.72,4,3,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
7,32302,1239,367,156,124800,1295.52,-0.38,5.45,4,5,3,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
9,11042,459,189,96,60960,2660.53,-0.76,6.74,1,5,3,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
18,12916,1058,269,84,23352,725.46,-0.62,10.92,8,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
29,73403,7231,1683,766,311762,337.92,0.2,13.19,8,6,3,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True
18,71114,1814,870,350,232750,827.25,-0.2,4.27,9,1,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
21,96478,3700,1111,711,366876,282.59,0.83,5.72,11,5,2,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
21,96239,3852,2172,1568,460992,110.5,1.66,7.89,11,1,1,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
22,15712,2049,698,518,161616,185.06,0.69,20.78,3,0,3,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False
5,65961,3729,1011,805,642390,117.32,5.8,8.41,1,2,3,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
24,91963,9000,4091,1250,507500,150.39,1.7,15.59,1,1,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True
10,41454,6034,2744,1271,441037,64.77,4.36,24.24,10,6,3,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False
27,62808,3704,743,431,286615,207.69,2.2,7.77,3,4,3,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
16,44568,5722,2794,2033,742045,119.14,2.06,23.67,5,5,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
23,78393,10859,4614,2346,1381794,48.99,11.02,22.73,8,4,2,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
16,36778,2873,976,338,240656,547.44,0.3,11.38,11,1,1,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
19,29254,3754,1868,942,399408,296.39,0.43,22.44,1,0,1,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False
13,16762,1911,519,285,180405,1018.44,-0.38,16.2,11,2,3,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True
8,30349,1590,535,416,143104,130.39,1.64,8.37,12,0,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6,93228,5488,2887,1070,739370,249.36,1.77,10.13,4,1,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
16,32725,917,353,262,133096,277.31,0.83,4.68,5,1,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6,37912,2193,1175,779,555427,69.68,9.23,10.94,6,3,2,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
28,84684,6830,3006,2183,1403669,37.23,16.27,14.19,9,4,3,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False
27,51006,7110,2461,769,432178,298.91,0.88,20.27,9,3,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
10,71767,10510,5442,3276,1539720,60.15,6.81,26.79,5,5,2,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
17,92095,9825,4595,2248,1717472,34.81,20.95,18.1,8,4,3,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
20,74063,6065,1600,687,324951,297.63,0.59,11.28,12,6,1,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
13,36974,3888,2249,752,407584,182.75,1.97,18.63,10,4,3,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
15,46818,3423,2031,1219,884994,154.12,3.71,14.25,6,4,1,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
26,80082,10026,2337,1352,913952,80.25,7.42,17.13,11,6,1,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
11,18334,2001,1096,868,402752,165.01,1.81,21.63,1,3,2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
21,74764,8071,3586,1901,885866,155.84,1.99,18.13,1,4,1,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False
29,74129,2626,1462,1163,623368,141.12,2.8,7.08,4,2,2,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
29,27923,2989,1452,817,625822,359.28,1.13,18.83,5,0,1,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
28,19354,637,246,74,33522,1025.97,-0.56,4.94,12,6,3,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
8,25188,1025,472,187,118558,480.96,0.32,6.69,11,1,2,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
18,29617,2372,865,538,368530,168.8,3.06,12.75,1,0,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
27,25041,3511,991,379,223231,598.76,-0.02,19.49,12,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
11,78990,2360,1125,732,453840,347.66,0.78,5.34,5,2,2,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
30,88461,2327,999,358,100956,410.1,-0.31,4.16,5,3,1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
16,16853,656,378,287,80073,1039.27,-0.73,7.84,6,2,1,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False
20,83484,6219,2837,1554,536130,69.08,3.99,12.71,4,1,2,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
18,79948,1641,630,499,279440,465.08,0.2,3.46,11,6,1,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
10,83836,9077,3824,1553,851044,106.54,4.14,17.24,6,1,2,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
6,82314,11125,4379,1588,1056020,82.69,7.04,20.76,12,1,2,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
13,15809,2154,449,305,195200,491.68,0.3,18.39,12,1,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
21,23866,1157,471,295,98530,542.93,-0.38,8.06,1,2,2,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False
19,73044,3187,1759,569,385782,184.41,2.68,7.55,8,3,2,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
23,26385,2511,940,434,199640,653.94,-0.3,14.72,2,0,1,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
5,68710,8506,4996,3472,2249856,38.16,15.98,24.7,5,4,3,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
